timestamp,Wkdy/Wknd,arrive116Time,arrive96Time,arrive42Time,Recommendation
67343.0,0.0,67528.0,67768.0,68428.0,0.0
68018.0,0.0,68153.0,68393.0,69143.0,1.0
68483.0,0.0,68576.0,68816.0,69476.0,0.0
68693.0,0.0,68920.0,69160.0,69820.0,0.0
69518.0,0.0,69546.0,69786.0,70536.0,1.0
70088.0,0.0,70065.0,70305.0,70965.0,0.0
70088.0,0.0,70361.0,70601.0,71261.0,0.0
70733.0,0.0,71029.0,71269.0,72019.0,0.0
70388.0,0.0,71736.0,71976.0,72636.0,0.0
71438.0,0.0,71669.0,71909.0,72569.0,0.0
71738.0,0.0,72080.0,72320.0,72980.0,0.0
72113.0,0.0,72418.0,72658.0,73408.0,0.0
72863.0,0.0,72996.0,73236.0,73896.0,1.0
73178.0,0.0,73325.0,73565.0,74225.0,0.0
73598.0,0.0,73960.0,74200.0,74950.0,1.0
74048.0,0.0,74270.0,74510.0,75170.0,0.0
74483.0,0.0,74797.0,75037.0,75697.0,1.0
74888.0,0.0,75252.0,75492.0,76242.0,0.0
75383.0,0.0,75705.0,75945.0,76605.0,0.0
75848.0,0.0,76168.0,76408.0,77068.0,1.0
76253.0,0.0,76745.0,76985.0,77735.0,1.0
76763.0,0.0,77262.0,77502.0,78162.0,0.0
77288.0,0.0,77617.0,77857.0,78517.0,0.0
77738.0,0.0,78174.0,78414.0,79164.0,1.0
78233.0,0.0,78664.0,78904.0,79564.0,0.0
78803.0,0.0,79024.0,79264.0,79924.0,1.0
79253.0,0.0,79686.0,79926.0,80676.0,0.0
79808.0,0.0,79842.0,80082.0,80742.0,0.0
80408.0,0.0,80517.0,80757.0,81417.0,0.0
80888.0,0.0,81027.0,81267.0,82017.0,0.0
81503.0,0.0,81500.0,81740.0,82400.0,1.0
81503.0,0.0,81944.0,82184.0,82844.0,0.0
82073.0,0.0,82521.0,82761.0,83511.0,1.0
82658.0,0.0,82971.0,83211.0,83871.0,0.0
83903.0,0.0,83889.0,84129.0,84789.0,0.0
82073.0,0.0,83880.0,84120.0,84870.0,0.0
84563.0,0.0,84501.0,84741.0,85401.0,0.0
82658.0,0.0,84840.0,85080.0,85740.0,0.0
85178.0,0.0,85575.0,85815.0,75.0,1.0
85853.0,0.0,86020.0,86260.0,520.0,0.0
143.0,0.0,286.0,526.0,1186.0,0.0
143.0,0.0,458.0,698.0,1358.0,0.0
788.0,0.0,927.0,1167.0,1827.0,1.0
38738.0,0.0,38717.0,38957.0,39617.0,1.0
39128.0,0.0,39104.0,39344.0,40004.0,0.0
39593.0,0.0,39588.0,39828.0,40578.0,0.0
40028.0,0.0,40037.0,40277.0,40937.0,1.0
40523.0,0.0,40514.0,40754.0,41414.0,0.0
41063.0,0.0,41078.0,41318.0,42068.0,0.0
41588.0,0.0,41587.0,41827.0,42487.0,0.0
41918.0,0.0,41933.0,42173.0,42833.0,0.0
42293.0,0.0,42455.0,42695.0,43445.0,0.0
42758.0,0.0,42956.0,43196.0,43856.0,1.0
42758.0,0.0,43405.0,43645.0,44305.0,0.0
43988.0,0.0,44127.0,44367.0,45117.0,0.0
43988.0,0.0,44426.0,44666.0,45326.0,0.0
